,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8459953170187582,0.5331903258521585,1
74,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5683505335477427,0.822786528217372,0
75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5584386060937472,0.8295458535994696,1
76,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6287961743656217,0.7775701711763117,0
77,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5783551196102427,0.815785116081816,1
78,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7719302356170498,0.6357072528610997,0
79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6301624483644956,0.7764633208795279,0
80,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5645493580916978,0.8253993108055349,1
81,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7725951487922619,0.6348989967409482,1
82,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8336485308966843,0.5522953258301213,0
83,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6225235658215386,0.7826010541756487,0
84,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8575392857303048,0.5144184808394414,0
85,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7075635191948175,0.7066497479689956,0
86,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.46930162160495426,0.8830379312118819,0
87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6219203454236651,0.7830805092377854,1
88,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6219125841667853,0.7830866731435233,0
89,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5703425440642038,0.821406952996121,0
90,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7420586939026154,0.6703349124158345,1
91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.8247552919180603,0.5654897951803862,1
92,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7369584329984259,0.675938065234164,0
93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7772164561609503,0.6292333273695964,0
94,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.655524145942862,0.7551742143941894,1
95,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7510987616718574,0.6601898592185451,0
96,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5876198835561582,0.8091371159756836,1
97,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7106511090102072,0.7035445979201052,1
98,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7284116862935497,0.6851397049295764,0
99,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5570572676350319,0.8304740818201326,0
100,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6428199106794924,0.7660173382071775,1
101,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.8169678632647617,0.5766831975986553,1
102,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5312155435814601,0.8472367120571759,0
103,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6574580010862748,0.7534911922561801,0
104,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5802288037691593,0.8144535194083273,0
105,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6695472013857222,0.7427695100881209,1
106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.669007108107651,0.7432560052239322,0
107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6355514562698892,0.7720585123118734,0
108,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8629594860892883,0.5052731195784231,0
109,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7083168378009853,0.7058946502755301,1
110,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7676591723222937,0.6408583268940578,0
111,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7841677223992383,0.6205489369479182,0
112,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8077331430484842,0.5895482759036931,0
113,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5394845421870071,0.841995503991129,0
114,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.856029918677595,0.516926279394683,1
115,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6703349124158345,0.7420586939026154,0
116,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8336485308966843,0.5522953258301213,0
117,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7191229524372542,0.6948828529168973,1
118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7660173382071775,0.6428199106794924,0
119,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.8304740818201326,0.5570572676350319,0
120,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.8247552919180603,0.5654897951803862,0
121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8459953170187582,0.5331903258521585,1
122,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7841677223992383,0.6205489369479182,0
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6408583268940578,0.7676591723222937,1
124,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6357072528610997,0.7719302356170498,1
125,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8144535194083273,0.5802288037691593,1
126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7772164561609503,0.6292333273695964,0
127,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5136116795579884,0.8580227518088446,1
128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8295458535994696,0.5584386060937472,0
129,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7671537031853778,0.6414633237286145,1
130,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.841995503991129,0.5394845421870071,0
131,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.822786528217372,0.5683505335477427,1
132,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7369584329984259,0.675938065234164,0
133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.829063063955475,0.5591551090571916,0
134,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6695472013857222,0.7427695100881209,1
135,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7035445979201052,0.7106511090102072,0
136,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8336485308966843,0.5522953258301213,1
137,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.822786528217372,0.5683505335477427,1
